"","home_team","away_team","Year","home_score","away_score","outcome","home_foreign","away_foreign"
"195","Spain","Chile",2014,0,2,"l",2,2
"196","Türkiye","China",2002,3,0,"w",6,1
"197","Brazil","China",2002,4,0,"w",0,1
"198","Uruguay","Colombia",1962,2,1,"w",0,0
"199","Soviet Union","Colombia",1962,4,4,"t",1,0
"200","Yugoslavia","Colombia",1962,5,0,"w",2,0
"201","United Arab Emirates","Colombia",1990,0,2,"l",0,0
"202","Yugoslavia","Colombia",1990,1,0,"w",1,0
"203","Cameroon","Colombia",1990,2,1,"w",1,0
"204","Cameroon","Colombia",1990,2,1,"w",10,0
"205","Germany","Colombia",1990,1,1,"t",0,0
"206","Switzerland","Colombia",1994,0,2,"l",4,0
"207","United States","Colombia",1994,2,1,"w",12,0
"208","Romania","Colombia",1998,1,0,"w",1,0
"209","Japan","Colombia",2014,1,4,"l",1,0
"210","Brazil","Colombia",2014,2,1,"w",0,0
"211","Poland","Colombia",2018,0,3,"l",2,1
"212","Senegal","Colombia",2018,0,1,"l",9,1
"213","Sweden","Costa Rica",1990,1,2,"l",2,1
"215","Brazil","Costa Rica",1990,1,0,"w",1,1
"216","China","Costa Rica",2002,0,2,"l",1,0
"217","Germany","Costa Rica",2006,4,2,"w",23,1
"218","Ecuador","Costa Rica",2006,3,0,"w",2,1
"219","Italy","Costa Rica",2014,0,1,"l",3,2
"220","Uruguay","Costa Rica",2014,1,3,"l",1,2
"221","Netherlands","Costa Rica",2014,0,0,"t",9,2
