"home_team","away_team","home_score","away_score","Year","outcome"
"Germany","Türkiye",7,2,1954,"w"
"Switzerland","Italy",4,1,1954,"w"
"Hungary","Germany",8,3,1954,"w"
"Türkiye","Korea Republic",7,0,1954,"w"
"Italy","Belgium",4,1,1954,"w"
"Switzerland","England",0,2,1954,"l"
"Uruguay","Scotland",7,0,1954,"w"
"Brazil","Yugoslavia",1,1,1954,"t"
"Austria","Czech Republic",5,0,1954,"w"
"France","Mexico",3,2,1954,"w"
"Switzerland","Italy",2,1,1954,"w"
"Hungary","Korea Republic",9,0,1954,"w"
"Germany","Türkiye",4,1,1954,"w"
"England","Belgium",4,4,1954,"t"
"Uruguay","Czech Republic",2,0,1954,"w"
"Yugoslavia","France",1,0,1954,"w"
"Brazil","Mexico",5,0,1954,"w"
"Austria","Scotland",1,0,1954,"w"
"Sweden","Spain",3,1,1950,"w"
"Uruguay","Brazil",2,1,1950,"w"
"Brazil","Spain",6,1,1950,"w"
"Uruguay","Sweden",3,2,1950,"w"
"Brazil","Sweden",7,1,1950,"w"
"Uruguay","Spain",2,2,1950,"t"
"Chile","United States",5,2,1950,"w"
"Italy","Paraguay",2,0,1950,"w"
"Uruguay","Bolivia",8,0,1950,"w"
"Spain","England",1,0,1950,"w"
"Switzerland","Mexico",2,1,1950,"w"
"Brazil","Yugoslavia",2,0,1950,"w"
"Spain","Chile",2,0,1950,"w"
"United States","England",1,0,1950,"w"
"Sweden","Paraguay",2,2,1950,"t"
"Brazil","Switzerland",2,2,1950,"t"
"Yugoslavia","Mexico",4,1,1950,"w"
"Sweden","Italy",3,2,1950,"w"
"England","Chile",2,0,1950,"w"
"Spain","United States",3,1,1950,"w"
"Yugoslavia","Switzerland",3,0,1950,"w"
"Brazil","Mexico",4,0,1950,"w"
"Brazil","Sweden",4,2,1938,"w"
"Italy","Hungary",4,2,1938,"w"
"Hungary","Sweden",5,1,1938,"w"
"Italy","Brazil",2,1,1938,"w"
"Brazil","Czech Republic",2,1,1938,"w"
"Sweden","Cuba",8,0,1938,"w"
"Brazil","Czech Republic",1,1,1938,"t"
"Hungary","Switzerland",2,0,1938,"w"
"Italy","France",3,1,1938,"w"
"Switzerland","Germany",4,2,1938,"w"
"Cuba","Romania",2,1,1938,"w"
"Italy","Norway",2,1,1938,"w"
"Cuba","Romania",3,3,1938,"t"
"Hungary","Dutch East Indies",6,0,1938,"w"
"France","Belgium",3,1,1938,"w"
"Brazil","Poland",6,5,1938,"w"
"Czech Republic","Netherlands",3,0,1938,"w"
"Switzerland","Germany",1,1,1938,"t"
"Italy","Czech Republic",2,1,1934,"w"
"Germany","Austria",3,2,1934,"w"
"Czech Republic","Germany",3,1,1934,"w"
"Italy","Austria",1,0,1934,"w"
"Italy","Spain",1,0,1934,"w"
"Austria","Hungary",2,1,1934,"w"
"Czech Republic","Switzerland",3,2,1934,"w"
"Italy","Spain",1,1,1934,"t"
"Germany","Sweden",2,1,1934,"w"
"Czech Republic","Romania",2,1,1934,"w"
"Hungary","Egypt",4,2,1934,"w"
"Austria","France",3,2,1934,"w"
"Switzerland","Netherlands",3,2,1934,"w"
"Sweden","Argentina",3,2,1934,"w"
"Spain","Brazil",3,1,1934,"w"
"Germany","Belgium",5,2,1934,"w"
"Italy","United States",7,1,1934,"w"
"Uruguay","Argentina",4,2,1930,"w"
"Uruguay","Yugoslavia",6,1,1930,"w"
"Argentina","United States",6,1,1930,"w"
"Argentina","Chile",3,1,1930,"w"
"Uruguay","Romania",4,0,1930,"w"
"Brazil","Bolivia",4,0,1930,"w"
"Paraguay","Belgium",1,0,1930,"w"
"Chile","France",1,0,1930,"w"
"Argentina","Mexico",6,3,1930,"w"
"Uruguay","Peru",1,0,1930,"w"
"Yugoslavia","Bolivia",4,0,1930,"w"
"United States","Paraguay",3,0,1930,"w"
"Chile","Mexico",3,0,1930,"w"
"Argentina","France",1,0,1930,"w"
"Yugoslavia","Brazil",2,1,1930,"w"
"Romania","Peru",3,1,1930,"w"
"United States","Belgium",3,0,1930,"w"
"France","Mexico",4,1,1930,"w"
